Indian Institute of Management, Kolkata 
The West Bengal National University of Juridical Sciences, Kolkata 
Institute of Hotel Management Catering Technology & Applied Nutrition, Kolkata 
International Institute of Hotel Management, Kolkata 
St. Xavier's College, Kolkata 
University of Calcutta, Kolkata 
Presidency University, Kolkata 
Goenka College of Commerce and Business Administration, Kolkata 
National Institute of Pharmaceutical Education And Research, Kolkata 
Gurunanak Institute of Dental Science and Research, Kolkata 
Institute of Post Graduate Medical Education And Research, Kolkata 
Faculty of Law University of Calcutta, Kolkata 
Scottish Church College, Kolkata 
Indian Institute of Foreign Trade, Kolkata 
Bethune College, Kolkata 
Indian Institute of Social Welfare and Business Management, Kolkata 
Loreto College, Kolkata 
Guru Nanak Institute of Hotel Management, Kolkata 
Nilratan Sircar Medical College & Hospital, Kolkata 
Gurukul Management Studies, Kolkata 
Annex College, Kolkata 
JIS College of Engineering, Kolkata 
George College, Kolkata 
Gokhale Memorial Girls' College, Kolkata 
The Bhawanipur Education Society College, Kolkata 
Seth Anandaram Jaipuria College, Kolkata 
Seth Soorajmull Jalan Girls College, Kolkata 
South Calcutta Law College, Kolkata 
West Bengal University of Animal and Fishery Sciences, Kolkata 
